Geneid	SRR15622370	SRR15622371	SRR15622372	SRR15622373	SRR15622374	SRR15622375	SRR15622376	SRR15622377	SRR15622378	SRR15622379	SRR15622380	SRR15622381	SRR15622382	SRR15622383	SRR15622384	SRR16842417	SRR16842418	SRR16842419	SRR16842420	SRR16842425	SRR16842426	SRR16894644	SRR16894645	SRR16894646	SRR16894647	SRR16894648	SRR16894649	SRR16894650	SRR16894651	SRR16894652	SRR16894653	SRR16894654	SRR16894655	SRR16894656	SRR16894657	SRR16894658	SRR16894659	SRR16894660	SRR16894661	SRR16894662	SRR16894663	SRR11480883	SRR11480884	SRR11480885	SRR11480886	SRR11480887	SRR11480888	SRR11480889	SRR11480890	SRR11480891	SRR11480892	SRR11480893	SRR11480894	SRR11480895	SRR11480896	SRR11480897	SRR11480898	SRR11480899	SRR11480900	SRR11480901	SRR11480902	SRR11480903	SRR11480904	SRR11480905	SRR11480906	SRR11940011	SRR11940012	SRR11940013	SRR11940014	SRR11940015	SRR11940016	SRR11940017	SRR11940018	SRR11940019	SRR11940020	SRR11940021	SRR11940022	SRR11940023	SRR11940024	SRR11940025	SRR12488723	SRR12488724	SRR12488725	SRR12488726	SRR12488727	SRR12488728	SRR12488729	SRR12488730	SRR12488731	SRR12488732	SRR12488733	SRR12488734	SRR12488735	SRR12488736	SRR12488737	SRR13959796	SRR13959797	SRR13959798	SRR13959799	SRR13959800
BnaA01G0001100ZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0001200ZS	67	71	78	77	89	105	87	108	98	86	97	88	114	127	95	40	49	55	59	43	19	193	89	112	103	79	144	104	7	113	113	86	96	146	88	93	92	97	90	85	117	98	76	50	77	65	82	62	50	51	83	66	87	107	63	89	69	72	81	95	93	56	63	66	74	91	133	83	81	140	96	99	85	82	94	85	73	108	109	97	83	75	96	122	65	88	115	121	75	70	76	88	79	76	104	146	151	91	99	122
BnaA01G0001300ZS	2	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BnaA01G0001400ZS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0
BnaA01G0001500ZS	3	11	8	16	13	6	3	9	5	8	1	0	0	3	7	13	0	1	6	18	6	14	5	5	5	1	2	4	4	8	6	6	10	11	7	12	6	7	12	1	14	7	2	14	7	4	12	9	5	3	3	3	18	7	3	0	3	5	6	0	9	8	4	6	20	6	7	24	22	12	6	9	8	16	12	11	18	2	12	4	1	2	2	2	4	2	0	0	2	10	2	2	0	2	5	19	14	15	14	13
BnaA01G0001600ZS	0	2	0	1	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	2	3	0	3	0	2	0	0	2	1	1	2	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	10	6	8	0	7	0	1	1	5	2	2	2	3	1	1	0	3	2	0	1	0	3	7	4	2	0	0	0	5	6	5	2	5
BnaA01G0001700ZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0001800ZS	3	1	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	13	10	3	4	5
BnaA01G0001900ZS	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	4	1	3	2	2	2	0	0	4	0	0	2	1	0	4	1	1	1	3	2	2	1	1	0	2	2	1	2	2	5	1	0	0	0	2	3	1	2	5	1	0	1	2	2	0	0	1	1	3	4	1	0	1	0	2	2	7	4	1	1	0	1	1	0	3	1	1	1	0	2	1	1	0	3	0	0	4	5	8	14	5
BnaA01G0002000ZS	113	17	30	20	27	11	22	65	12	10	9	77	70	24	46	23	30	27	24	49	22	55	49	18	9	8	9	24	15	36	36	9	9	10	3	18	14	19	11	48	8	33	25	15	36	41	31	29	0	2	1	5	24	6	6	5	3	3	5	6	5	19	36	6	41	115	22	36	39	25	58	20	26	32	42	31	25	19	10	36	23	23	25	22	19	40	38	27	56	48	47	22	26	16	28	101	116	65	64	113
BnaA01G0002100ZS	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	21	8	12	1
BnaA01G0002200ZS	28	11	17	11	17	15	22	18	31	19	34	32	24	21	21	7	8	7	6	8	5	29	12	22	19	3	22	4	0	39	23	16	19	36	51	25	10	20	24	13	17	10	10	9	8	10	20	13	4	10	11	5	30	14	18	10	18	17	25	22	28	15	5	24	47	29	29	9	10	31	30	29	26	7	13	11	2	26	15	21	14	16	11	25	22	19	20	12	13	9	21	10	11	12	13	25	24	21	20	12
BnaA01G0002300ZS	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0002400ZS	301	77	44	32	71	71	76	73	93	100	103	340	218	90	197	89	161	287	177	309	63	134	29	23	44	18	1	7	1	42	48	44	11	39	31	60	51	24	44	9	32	2	6	6	8	98	47	52	5	4	4	2	354	1	5	43	58	259	115	264	183	8	9	107	235	0	1	3	0	2	2	6	0	1	0	0	1	0	0	3	664	419	368	499	612	643	593	701	203	191	231	487	830	652	456	2	0	0	1	0
BnaA01G0002500ZS	147	12	14	9	39	44	74	18	57	46	49	261	152	44	80	133	312	199	136	207	53	99	28	38	28	26	7	41	0	15	50	28	37	34	58	27	40	27	36	29	37	2	7	7	12	77	52	60	61	16	12	17	107	20	31	164	239	389	354	813	242	6	9	152	255	1	1	1	2	0	1	0	1	0	3	0	0	0	0	2	387	295	217	238	555	705	420	534	89	99	139	518	721	424	355	0	0	0	3	0
BnaA01G0002600ZS	7	8	3	0	9	5	3	11	1	2	4	8	9	9	1	0	32	22	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	2	0	1	0	0	0	5	2	4	12	16	7	1	4	2	8	9	11	15	8	10	12	1	3	0	2	1	0	1	3	1	0	0	2	0	2	6	0	0	2	0	0
BnaA01G0002700ZS	125	240	178	220	231	234	237	218	132	130	118	139	136	210	252	148	109	103	119	203	112	392	322	451	365	269	526	326	2	296	292	231	535	619	312	161	281	336	320	255	209	271	301	220	332	312	326	217	272	302	294	501	241	609	435	340	304	362	299	243	296	173	231	174	174	897	655	465	403	788	829	657	860	623	592	685	393	683	827	673	135	120	146	142	115	108	127	211	194	165	117	124	179	158	144	263	233	143	168	199
BnaA01G0002800ZS	98	82	110	116	109	93	83	111	120	115	143	119	126	130	128	51	61	41	56	73	24	289	80	126	97	60	122	78	0	75	108	84	95	167	70	110	93	59	95	106	145	49	47	36	43	84	57	58	48	41	52	39	60	64	51	55	46	80	68	25	44	50	53	20	37	144	105	80	51	96	98	125	70	41	87	62	55	107	104	114	165	141	149	137	127	150	154	168	170	166	154	138	139	127	179	104	85	102	113	90
BnaA01G0002900ZS	686	58	74	52	65	97	99	51	812	863	886	707	877	70	98	138	754	583	254	128	37	552	309	350	273	260	229	217	0	270	386	243	270	371	283	225	226	251	255	61	208	102	138	84	179	238	269	226	240	187	184	365	303	369	390	483	378	405	463	472	372	117	131	242	322	326	300	283	209	260	328	440	308	92	121	101	197	370	368	319	722	946	1116	1128	692	812	980	1012	604	702	951	628	725	944	1146	1204	1293	493	390	846
BnaA01G0003000ZS	221	1246	1277	1592	2071	2240	2145	1241	123	128	143	224	234	1543	2682	2024	42	68	1060	3882	1064	864	287	425	372	260	319	359	0	227	271	1016	226	375	45	1299	538	617	162	1502	1340	1738	966	346	1414	2296	1818	2571	3080	2264	2383	826	1934	726	1076	980	1882	2791	2745	1416	1878	1359	3104	1086	1682	21	30	10	12	26	18	30	12	1	3	0	3	1	1	12	2688	1336	1791	969	1552	1005	1202	1174	2794	2529	1426	2709	1782	842	1386	0	0	0	0	0
BnaA01G0003100ZS	1	2	4	0	3	5	6	2	1	1	0	2	2	14	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
BnaA01G0003200ZS	17	15	14	18	23	31	22	11	26	19	23	15	26	20	14	5	9	12	12	14	8	82	19	34	20	19	15	16	0	15	22	9	30	29	16	32	21	15	10	12	14	9	15	2	20	8	16	15	39	20	19	17	4	22	24	13	35	21	14	0	10	18	31	9	0	46	112	19	13	80	54	64	44	16	6	26	21	59	88	51	23	26	22	34	17	25	42	40	21	18	19	19	25	28	30	25	22	34	22	35
BnaA01G0003300ZS	94	42	20	30	95	56	63	128	143	303	221	60	92	125	90	18	5	11	4	8	1	64	37	66	22	22	16	16	0	29	14	37	10	23	15	29	23	29	37	22	51	27	18	10	28	21	26	28	27	18	18	29	6	21	22	17	33	94	24	7	1	12	14	0	1	233	190	107	89	197	202	170	263	55	51	54	96	145	184	132	38	64	56	57	18	14	23	41	50	56	40	21	29	39	51	95	114	54	67	99
BnaA01G0003400ZS	5	6	0	4	2	8	6	11	8	0	1	5	5	30	16	1	9	1	0	0	0	4	0	0	0	3	0	1	0	4	1	0	2	1	0	0	3	0	4	0	5	2	0	1	1	2	5	3	0	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	2	27	4	6	5	4	0	5	7	2	6	3	2	4	2	2	15	17	30	24	4	9	17	9	44	66	26	9	16	10	20	11	12	8	13	7
BnaA01G0003500ZS	7	43	26	83	27	32	17	10	3	12	7	15	14	18	15	13	25	9	4	24	3	89	50	43	67	26	30	97	0	4	66	38	72	70	7	16	60	113	39	69	63	15	14	0	9	3	12	16	36	31	44	14	8	17	14	13	11	13	26	13	7	25	27	1	0	43	65	56	51	70	56	79	28	42	60	70	41	54	44	44	22	32	33	18	18	24	27	8	58	72	32	40	19	13	22	7	11	8	12	33
BnaA01G0003600ZS	1085	842	763	847	1221	1032	1061	1732	913	771	766	1023	1229	1173	1258	47	99	70	31	85	24	470	570	470	180	366	1488	535	0	286	197	272	1078	913	1407	948	518	239	600	1205	952	4148	1023	1663	972	233	203	213	625	1178	1057	1307	71	1262	685	230	193	344	47	68	29	1758	1509	50	107	3058	1161	387	527	1959	1818	799	2183	968	1164	1462	309	612	1057	718	314	659	755	644	272	240	250	450	841	847	757	311	275	429	424	284	296	545	524	792
BnaA01G0003700ZS	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0003800ZS	1	0	4	2	0	1	0	3	0	1	0	2	2	3	2	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	1	1	0	3	0	0	2	0	0	3	3	2	0	0	2	0	0	0	0	1	0	1	0	0	0
BnaA01G0003900ZS	0	0	5	1	0	0	3	2	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0004000ZS	4	6	145	14	4	3	4	0	3	2	2	0	6	0	4	2	0	0	0	2	5	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	2	3	2	3	1	0	1	2	0	4	2	2	0	0	1
BnaA01G0004100ZS	141	118	86	117	106	95	82	131	195	189	220	117	148	100	122	29	60	24	13	36	19	194	81	102	63	71	121	94	0	71	120	87	102	235	71	64	83	76	81	63	90	105	90	56	81	49	55	41	40	42	66	29	24	37	42	44	49	81	41	17	30	94	114	14	47	269	153	76	94	152	141	165	120	84	134	118	63	147	148	122	48	59	59	72	53	69	52	67	56	56	67	51	60	70	58	106	118	105	122	142
BnaA01G0004200ZS	687	733	696	789	598	598	656	592	734	801	773	632	708	517	539	390	521	452	374	531	195	1866	803	792	772	760	1315	631	4	1002	719	803	727	932	868	1269	772	830	904	868	1060	860	671	691	668	815	863	767	470	504	544	548	851	817	585	556	717	774	612	1102	694	581	654	579	864	904	933	439	396	760	838	930	958	320	376	346	397	724	692	765	630	614	669	608	582	650	534	719	720	571	599	625	604	603	565	563	532	559	525	572
BnaA01G0004300ZS	141	252	237	164	183	181	189	189	80	100	109	89	153	184	248	258	71	217	380	324	112	1072	662	1055	661	408	854	640	2	714	609	510	807	799	1264	643	418	600	670	559	517	314	310	274	376	467	456	345	386	272	351	470	381	612	606	530	474	582	456	588	341	277	378	267	455	630	446	435	331	647	664	401	687	653	605	633	320	459	395	451	281	149	193	189	227	197	272	369	409	288	297	173	261	373	255	396	407	251	343	185
BnaA01G0004400ZS	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	2	9	5	17	18	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	30	40	38	54	62	34	38	3	3	11	18	27	24	41	23	8	20	186	22	17	33	24	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	56	43	88	23	22	36	92	63	41	30	25	21	96	62	1	0	1	0	0
BnaA01G0004500ZS	906	2537	2679	2167	2954	3321	3496	3923	901	762	857	818	1058	3814	3740	223	412	524	466	562	242	1901	1692	1850	897	1213	4693	3495	27	582	1480	421	7066	5787	3003	2233	1110	796	4142	6792	3855	4306	2647	1894	2701	1416	1778	2037	4190	5090	5237	3487	159	4312	3907	2512	2186	3277	574	1431	459	4751	4689	155	180	886	373	370	353	1235	654	422	765	869	404	1322	350	259	980	268	649	1569	1366	1715	516	495	620	1098	2966	1488	1596	575	482	1043	920	1510	1597	2242	2461	2564
BnaA01G0004600ZS	1	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BnaA01G0004700ZS	122	111	99	152	127	116	109	73	105	159	187	126	164	119	174	13	8	16	16	18	4	237	176	174	137	196	474	130	0	86	61	82	187	128	129	539	88	25	214	204	523	1	0	2	5	11	7	3	167	170	142	207	0	278	149	160	91	171	83	45	76	8	1	0	0	13	34	0	3	21	8	5	22	1	2	1	1	2	25	7	67	41	49	48	36	39	68	85	10	17	13	17	36	80	81	481	458	1136	967	485
BnaA01G0004800ZS	0	0	2	0	0	0	0	5	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	20	0	0	4	0	3	0	7	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0
BnaA01G0004900ZS	40	59	52	52	70	56	47	68	46	48	55	33	55	43	47	52	24	32	24	53	25	248	159	181	149	127	225	109	2	126	142	177	177	185	155	218	133	149	138	192	239	99	87	56	95	102	102	116	62	107	116	92	47	104	65	80	74	158	49	44	35	90	94	18	23	220	158	83	63	207	203	153	141	79	101	111	70	126	90	153	51	96	110	89	48	44	66	64	95	110	106	48	60	62	75	153	143	111	103	125
BnaA01G0005000ZS	324	211	167	300	203	292	253	254	377	359	306	300	256	382	303	77	91	47	82	69	49	1009	615	479	523	419	622	501	0	340	641	465	470	661	395	490	445	333	575	387	630	103	74	43	76	103	122	180	147	150	142	129	111	113	118	151	173	274	190	139	81	75	107	107	160	839	736	402	366	801	820	855	777	345	210	380	318	692	655	661	265	314	376	324	282	251	401	332	236	337	248	298	247	236	290	186	195	224	176	336
BnaA01G0005100ZS	6	2	4	5	5	4	6	3	7	10	13	6	6	8	5	6	3	0	3	0	1	59	33	32	58	45	45	61	1	13	44	65	43	33	22	39	53	44	41	35	58	0	0	3	5	2	1	4	4	3	1	1	2	0	0	0	3	5	1	0	0	1	3	0	0	4	13	8	8	13	13	9	12	1	1	3	3	8	8	7	4	4	4	6	0	0	0	2	1	1	2	6	0	10	5	20	27	9	1	9
BnaA01G0005200ZS	358	268	260	440	257	268	259	345	322	356	335	313	324	432	436	188	138	126	145	186	106	698	408	487	432	504	527	365	87	296	365	426	369	567	321	245	462	583	429	366	469	617	545	399	584	688	685	677	625	630	627	631	293	604	716	894	478	896	718	336	476	522	671	225	361	636	524	312	360	457	458	598	324	311	392	332	248	437	471	419	377	327	398	331	360	403	412	473	371	508	343	363	313	354	334	654	613	405	435	673
BnaA01G0005300ZS	513	351	410	367	332	312	329	387	499	510	457	476	520	346	351	168	255	145	159	226	70	1490	479	490	398	564	295	374	3	323	400	482	258	364	398	438	557	460	313	307	278	289	208	160	205	271	302	226	391	342	363	299	253	451	397	368	481	489	414	426	384	177	212	124	222	432	517	466	349	437	537	501	576	441	512	392	383	517	692	606	510	310	396	320	461	359	490	468	434	383	345	465	460	339	332	503	506	557	506	450
BnaA01G0005400ZS	352	210	235	209	331	301	311	420	302	371	245	455	364	342	510	643	760	695	544	827	232	1267	470	612	576	470	202	598	1	410	530	710	293	369	509	366	630	472	305	259	239	426	772	549	722	1228	1172	1051	1011	777	753	776	957	1071	1106	1166	1330	1224	1177	1669	1266	653	955	762	747	192	273	312	238	233	257	308	244	223	279	261	274	278	192	285	969	521	483	515	881	949	661	932	419	345	348	771	976	780	616	292	280	197	139	163
BnaA01G0005500ZS	62	27	33	27	30	33	40	139	37	61	41	66	55	121	50	52	19	15	31	46	17	58	22	50	42	38	21	43	0	41	26	19	26	32	45	17	27	19	10	22	15	56	110	52	116	179	262	191	14	16	14	48	141	29	47	72	64	69	135	124	131	41	70	142	192	75	57	30	21	77	67	72	93	54	44	58	26	83	83	61	120	56	51	60	87	115	86	133	14	27	25	74	127	104	116	120	131	51	56	37
BnaA01G0005600ZS	54	59	75	80	53	65	54	85	57	66	65	64	68	72	65	18	25	35	22	36	12	97	30	43	61	54	60	46	0	50	57	33	46	55	11	48	33	31	38	35	62	40	17	18	18	38	42	33	16	22	25	29	29	34	23	33	38	61	30	23	27	30	12	5	35	90	109	99	61	119	126	92	156	87	80	84	73	125	101	116	39	55	45	36	34	28	49	59	25	47	33	37	25	29	35	75	78	40	70	42
BnaA01G0005700ZS	22	38	39	20	44	25	31	27	12	13	24	11	23	22	21	3	0	8	13	16	1	21	19	28	14	1	28	22	0	11	22	10	14	7	14	20	12	19	10	35	42	5	2	0	1	6	8	5	1	4	2	5	9	2	5	5	3	5	4	11	23	3	5	2	3	20	30	18	25	48	39	43	40	17	15	25	19	19	36	33	31	15	25	18	17	18	19	31	18	12	18	19	24	24	20	11	14	7	11	9
BnaA01G0005800ZS	2	4	1	1	3	1	4	1	0	0	4	2	4	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	6	2	6	0	6	10	3	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
